,IRUC,L,K,T,VP,year
374,00000014047,96.0,145341.0,81476.0,12850513.0,2016
375,00000014082,25.0,0.0,3452719.0,21101730.0,2016
376,00000014160,0.0,0.0,7579120.0,133549001.0,2016
377,00000014177,0.0,4252179.0,2023794.0,16716135.0,2016
378,00000014237,0.0,0.0,-733967.0,60324000.0,2016
379,00000014241,0.0,538947.0,-2893769.0,456283.0,2016
380,00000014263,0.0,0.0,1415870.0,35552829.0,2016
381,00000014343,212.0,0.0,-345878.0,24643180.0,2016
382,00000014365,0.0,0.0,-2779274.0,21987151.0,2016
383,00000014380,0.0,0.0,194654.0,39476821.0,2016
384,00000014473,0.0,0.0,696483.0,11885155.0,2016
385,00000014539,0.0,35156.0,-1456593.0,14938104.0,2016
386,00000014571,22.0,0.0,543728.0,9691265.0,2016
387,00000014599,0.0,0.0,479989.0,14827707.0,2016
388,00000014600,0.0,0.0,-221277.0,80395602.0,2016
389,00000014618,0.0,0.0,1841727.0,22339016.0,2016
390,00000014657,47.0,0.0,793464.0,13801384.0,2016
391,00000047282,0.0,0.0,316727.0,11443340.0,2016
392,00000047729,0.0,195781.0,-1015349.0,6373274.0,2016
393,00000047740,0.0,0.0,-1556207.0,156835872.0,2016
394,00000047742,0.0,0.0,-165466.0,109063060.0,2016
395,00000047744,0.0,264285.0,-191496.0,12509603.0,2016
396,00000047746,0.0,365515.0,1222101.0,38723308.0,2016
397,00000047747,0.0,90281.0,-1389211.0,25278004.0,2016
398,00000047748,7.0,0.0,434894.0,8302709.0,2016
399,00000047749,8.0,0.0,585624.0,24117184.0,2016
400,00000047826,0.0,69185.0,1675329.0,19025973.0,2016
401,00000048085,0.0,113031.0,0.0,22196152.0,2016
402,00000048214,139.0,576590.0,424277.0,22518774.0,2016
403,00000048330,71.0,129440.0,-1228900.0,9208631.0,2016
404,00000048331,0.0,0.0,12557.0,15883344.0,2016
405,00000048332,61.0,0.0,1569458.0,29144699.0,2016
406,00000048400,0.0,28116.0,615362.0,7348110.0,2016
407,00000048403,0.0,1382207.0,62274.0,10850415.0,2016
408,00000048526,0.0,55382.0,191224.0,7833496.0,2016
409,00000048528,0.0,0.0,41951.0,6975213.0,2016
410,00000048544,290.0,0.0,755632.0,10184442.0,2016
411,00000049266,0.0,0.0,49520.0,7550649.0,2016
412,00000113173,0.0,8682265.0,386867.0,78133.0,2016
413,00000113875,0.0,0.0,3434450.0,29258915.0,2016
414,00000113965,0.0,98890.0,248120.0,38123491.0,2016
415,00000114537,0.0,45368.0,-7735.0,13520850.0,2016
416,00000014677,0.0,0.0,308012.0,12205539.0,2016
417,00000014705,0.0,0.0,-381564.0,7082366.0,2016
418,00000014783,0.0,303868.0,-9106792.0,68170027.0,2016
419,00000014853,0.0,0.0,1211122.0,12664746.0,2016
420,00000014864,0.0,275608.0,283149.0,13911844.0,2016
421,00000014884,0.0,324810.0,486708.0,2703935.0,2016
422,00000014910,51.0,0.0,2691164.0,22946034.0,2016
423,00000014919,270.0,305937.0,499582.0,22748048.0,2016
424,00000014932,48.0,1342451.0,4137760.0,109193917.0,2016
425,00000014962,0.0,0.0,152790.0,10916871.0,2016
426,00000014999,0.0,1273420.0,864615.0,8455628.0,2016
427,00000015003,0.0,250119.0,10076488.0,141253483.0,2016
428,00000015035,2.0,114377.0,0.0,9946364.0,2016
429,00000015242,0.0,889707.0,-933253.0,46151001.0,2016
430,00000015261,0.0,0.0,-12083647.0,627741742.0,2016
431,00000015273,0.0,0.0,614909.0,24815374.0,2016
432,00000015276,2.0,0.0,452343.0,22590917.0,2016
433,00000015279,1228.0,28465156.0,17690812.0,358384098.0,2016
434,00000015320,0.0,0.0,106534.0,7799708.0,2016
435,00000015340,0.0,0.0,7620228.0,327912771.0,2016
436,00000015347,0.0,0.0,18017777.0,131268905.0,2016
437,00000015358,0.0,0.0,1790157.0,13124546.0,2016
438,00000015359,0.0,157621.0,1375579.0,20638729.0,2016
439,00000015365,111.0,0.0,838898.0,14487446.0,2016
440,00000015369,110.0,434859.0,-80749.0,63998861.0,2016
441,00000015376,0.0,0.0,-528062.0,25278335.0,2016
442,00000015405,0.0,0.0,-2557186.0,17067089.0,2016
443,00000015431,1.0,0.0,6236341.0,37250535.0,2016
444,00000015449,0.0,0.0,217309.0,7320841.0,2016
445,00000015459,0.0,0.0,4728501.0,139876358.0,2016
446,00000015473,13.0,0.0,370190.0,16264632.0,2016
447,00000015478,47.0,0.0,1085654.0,18557833.0,2016
448,00000015484,0.0,0.0,514986.0,10076071.0,2016
449,00000015506,0.0,0.0,1897328.0,30415633.0,2016
450,00000015513,0.0,0.0,118046.0,18705356.0,2016
451,00000015534,0.0,0.0,1393685.0,13566483.0,2016
452,00000015538,0.0,0.0,-419544901.0,3064966331.0,2016
453,00000015541,0.0,2102159.0,1257670.0,39579862.0,2016
454,00000015565,264.0,474871.0,-7743300.0,203714976.0,2016
455,00000015572,0.0,0.0,537530.0,19252667.0,2016
456,00000015575,0.0,0.0,24597212.0,562358625.0,2016
457,00000015589,273.0,26349096.0,6354069.0,206227247.0,2016
